Paper,Link,Code Available,Public Dataset,Multiple Datasets,Dataset Distribution included,Sample size for Evaluation ,Hyperparameters Reported,Report hyperparameter turning,Evaluation metric reported,Prediction horizon,Sampling horizon,Baseline included,Variance Reported,other lifestyle factors
Intelligent ensemble deep learning system for blood glucose prediction using genetic algorithms,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/7902418,No,No (data collected in Soonchunhyang University Cheonan Hospital),No,No (Only M/F split) ,"51 T2DM subjects (univariate)
29 T2DM subjects (multivariate)",Yes,Yes (Trial and Error),RMSE,"15, 30, 60",30,Yes (ARIMA),Yes,"Yes, CHO intake, insulin"
IoMT-enabled real-time blood glucose prediction with deep learning and edge computing,https://ieeexplore.ieee.org/abstract/document/9681840/,No,"Yes, OhioT1DM. 
No: ARISES, ABC4D",Yes,No,"OhioT1DM: 12
ABC4D: 25
ARISES: 12",Yes,,"RMSE, MAE, gRMSE","30, 60",Not clear,"Yes, (other models). TCN, CRNN, LSTM, Bi-LSTM, SVR, ARIMA",Yes,No
A probabilistic approach to blood glucose prediction in type 1 diabetes under meal uncertainties,https://ieeexplore.ieee.org/abstract/document/10232994/,No,"From UVA/PADOVA simulator, and an open-sourced real dataset collected by them",Yes,"Yes, average and variance","Simulator: 10, Real dataset: 6",Yes,"Yes, but manually","RMSE, ECE, SHA, QL, NGLL","30, 60",Not clear,"Yes, Gaussian Process, LSTM",Yes,"Yes, insulin, meals"
An autonomous channel deep learning framework for blood glucose prediction,https://www.sciencedirect.com/science/article/pii/S1568494622001247,No,"Yes, OhioT1DM",No,No,OhioT1DM: 12,Part,No,"RMSE, MARD, Clarke Error Grid","30, 60","CGM: 35min, Insulin: 5h, meal: 4h","Yes: LSTM, SVR, TCN, DRNN..",Yes,"Yes, insulin, meals"
Application of improved LightGBM model in blood glucose prediction,https://www.mdpi.com/2076-3417/10/9/3227,No,"No, in-house dataset from Tianchi competition platform",No,No,"Not mentioned patient number, only data piece number",Yes,Yes,"RMSE, MSE, R^2",Not clear,Not clear,"Yes, XGBoost, CatBoost",No,"Yes, lab test info"
Automatic blood glucose prediction with confidence using recurrent neural networks,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1261470,Yes,"Yes, OhioT1DM",No,No,OhioT1DM: 6,Yes,Yes,"RMSE, Clarke Error grid","30, 60","30, 120, 240","Yes, Naive baseline",Yes,No
Benchmark machine learning approaches with classical time series approaches on the blood glucose level prediction challenge,https://ceur-ws.org/Vol-2148/paper16.pdf,No,"Yes, OhioT1DM",No,No,OhioT1DM: 6,Yes,"Yes, Grid search",RMSE,30,60,"Yes, Naive (ZERO ORDER HOLD) linear regression, SVR, RF, Boosting tree",No,"Yes, insulin, meals, Heart rate"
Benchmarking machine learning algorithms on blood glucose prediction for type I diabetes in comparison with classical time-series models,https://ieeexplore.ieee.org/abstract/document/9007528/,No,"Yes, OhioT1DM",No,"No, Only the basic demographics",OhioT1DM: 6,Yes,"Yes, Grid search","RMSE, TG, ESOD",30,"15, 30, 45, 60","Yes, AXR, Lasso, elastic net, ridge, RF, ",Yes,"Yes, insulin, carbs. heart rate"
BGformer: an improved informer model to enhance blood glucose prediction,https://www.sciencedirect.com/science/article/pii/S1532046424001333,No,"Yes, DirecNet",No,"No, Only the basic demographics",DirecNet:16,Part,Not mentioned,"MAE, RMSE","60, 90",60. 90,"Yes, ARIMA, Logistic, XGBoost, LSTM, GRU, ",Yes,No
Blood glucose level prediction: advanced deep-ensemble learning approach,https://ieeexplore.ieee.org/document/9691857,No,"Yes, OhioT1DM",No,"No, Only the basic demographics",OhioT1DM: 12,Yes,No,"RMSE, MAE, Matthews correlation coefficient, surveillance error grid",30. 60,30. 60. 90. 120,"Yes, Naive baseline","Yes, report each individuals'",No
Blood glucose prediction for type 1 diabetes using generative adversarial networks,https://discovery.ucl.ac.uk/id/eprint/10115176/,Yes,"Yes, OhioT1DM",No,No,OhioT1DM: 6,Yes,Yes,"RMSE, MAE, Clarke Error Grid","30, 60",90,"Yes, GRU ",Yes,"Yes, insulin, meals"
Deep learning for blood glucose level prediction: How well do models generalize across different data sets?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310801,No,"Yes, OhioT1DM, DCLP3, DCLP5, RT",Yes,Yes (histogram) ,"OhioT1DM : 12
CLP3: 112
DCLP5:101
RT: 451",Yes,"Yes, grid search","RMSE, MAD, COD, FIT%","30, 60",2 hours,Yes,Yes,No
Deep multi-output forecasting: Learning to accurately predict blood glucose trajectories,https://dl.acm.org/doi/10.1145/3219819.3220102,Yes,No,No,Partly ,40 patients with Type 1 Diabetes,Yes,"Yes, partly",Aboslute Percentage Error (APE),"5, 10, 15, 20, 25, 30",50 minutes,"Yes, Naive (Most recent), Random Forest, RNN",Yes,No
Deep Multitask Learning by Stacked Long Short-Term Memory for Predicting Personalized Blood Glucose Concentration,https://ieeexplore.ieee.org/document/10004718,No,"Yes, OhioT1DM",No,No,OhioT1DM: 12,Yes,Yes,"RMSE, MAE","30, 60, 90, 120",120 minutes,"Yes, Linear Regression, ARIMA, LVX, ANN, SVR, LSTM, DRNN, GluNet",Yes,"Yes, Finger stick glucose, Insulin, Carbs"
Deep physiological model for blood glucose prediction in T1DM patients,https://www.mdpi.com/1424-8220/20/14/3896,Yes,"Yes: AIDA Simulator
No: D1NAMO dataset",Yes,No,"D1NAMO: 9 patients
AIDA: 40 different models are in AIDA, 10 days of data each",Yes,No,"RMSE, EGA","30, 60","36 sample window: 36 * 15 for AIDA
36 * 5 for D1NAMO",No,No,"Yes, Carbohydrate, Insulin"
Deep Residual Time-Series Forecasting: Application to Blood Glucose Prediction.,https://ceur-ws.org/Vol-2675/paper18.pdf,Yes,"Yes: OhioT1DM
No: Tidepool Data
",Yes,No,"OhioT1DM: 12 
Tidepool: 100 participantes (approximately) 15 million time steps",Yes,"Yes, Gridsearch","RMSE, MAE","30, 60","6, 12, 18, 24, 30, 36","Yes, N-BEATS",Yes,"Yes, cgm, finger stick, bolus, carbohydrate, time"
Blood glucose prediction with VMD and LSTM optimized by improved particle swarm optimization,https://ieeexplore.ieee.org/abstract/document/9281120/,No,Yes: RT_CGM,No,No,56 patients,Yes,"Yes, (IPSO algorithm)","RMSE, MAPE, Clarke Error Grid Analysis","30, 45, 60",10,"Yes, LSTM",No,No
Continuous blood glucose level prediction of Type 1 Diabetes based on Artificial Neural Network,https://www.sciencedirect.com/science/article/pii/S020852161830127X,No,No: Clinical Dataset,Yes (for Testing),Partly (histogram for one patient),12 patients,Partly,Yes,"RMSE, MAPE. R^2, REA, SSGPE, GWE","15, 30, 45, 60",Not constant,"Yes, SVR, AR, ELM",No,No
Convolutional recurrent neural networks for glucose prediction,https://ieeexplore.ieee.org/document/8678399,No,"Yes, UVA/PAdova T1D, 
No: Clinical Dataset",Yes,No,"UVA: 10 Simulated
Clinical: 10 patients",Partly,No,"RMSE, MARD, MCC","30, 60",2 hours,"Yes, NNPG, SVR, LVX, ARX",Yes,"Yes, Carbohydrate, Insulin, exercise, stress, alcohol"
Data based prediction of blood glucose concentrations using evolutionary methods,https://link.springer.com/article/10.1007/s10916-017-0788-2,No,No: Clinical Dataset,No,Yes (mean and variance),Clinical: 10 patients,Partly,Yes,CEG,"30, 60, 90,120",240 minutes,"Yes, Naive",Yes,"Yes, Carbohydrate, Insulin"
Deep learning based one step and multi-steps ahead forecasting blood glucose level,https://onlinelibrary.wiley.com/doi/full/10.1111/exsy.13393,No,Yes: DirecNetInpatientAccuracyStudy,No,Yes (mean and variance),108 patients,Yes,No,"MAE, RMSE, MMRE, PRED","30, 5","10 *5, 1*5","Yes, ARIMA and SVR",Yes,No
Blood glucose prediction model for type 1 diabetes based on extreme gradient boosting,https://iopscience.iop.org/article/10.1088/1757-899X/803/1/012012/meta,No,"Yes, DirecNet",No,"Yes, reported the Mean BG , STD, and range. ",DirecNet: 5,Using the package default,No,"RMSE, MAPE, pierson correclation coefficient","30, 60",30,"Yes, MLP. KNN, DT, RF, SVR",No,"No, but appended some processed features extracated from CGM data"
Blood glucose prediction with deep neural networks using weighted decision level fusion,https://www.sciencedirect.com/science/article/pii/S0208521621001005,No,"Yes, OhioT1DM",No,"No, Only the basic demographics",OhioT1DM: 12,Yes,Yes,"RMSE, MAPE, RMSPE, MAE","30, 45, 60",30,"Yes, LSTM, Wavenet, GRU",Yes,No
Ensemble models of cutting-edge deep neural networks for blood glucose prediction in patients with diabetes,https://www.mdpi.com/1424-8220/21/21/7090,No,"Yes, OhioT1DM",No,"No, Only the basic demographics",OhioT1DM: 6,Yes,Yes,"MSE, RMSE, R^2, correlation coefficient, MARD","30, 60, 120",120,"Yes, but this paper is about ensemble model , the baselines are the models proposed by other papers",Yes,"Yes, insulin, carbs"
Feature transformation for efficient blood glucose prediction in type 1 diabetes mellitus patients,https://www.mdpi.com/2075-4418/13/3/340,No,"Yes, OhioT1DM",No,"No, Only the basic demographics",OhioT1DM: 6,Partly,No,RMSE,"30, 60",6 * 5,"Yes, Other studies (Martinsson)",Yes,"Yes, Basal insulin, heart rate, physological features"
Machine learning approach for postprandial blood glucose prediction in gestational diabetes mellitus,https://ieeexplore.ieee.org/abstract/document/9281297/,No,"Yes, GEM-GDM",No,"Yes, provided link to original paper",235 patients,Yes,Yes (random grid searching),"pearson R, MAE RMSE"," 60, 120","2 hour CGM
6 hour carbohydrate","Yes, 6 Other Studies",Yes,"Yes, Meal related data, survey data"
