Papers evaluated in this study,Paper title,Publication venue,Year Published,Link,Code Available?,Public Dataset,Private Dataset,Multiple Datasets?,Dataset Distribution included?,Sample size for Evaluation ,Hyperparameters Reported?,Method for tuning hyperparameters reported?,"Evaluation metric reported (RMSE / MAPE, MAE)","Include all reported prediction horizon (like, future 30, future 60 ...)",Sampling horizon,Baseline included?,Variance Reported?,other lifestyle factors applied to train model,Best reported result (prediction horizon) 30 is the primary,Best reported metric,Best reported prediction horizon,model type ,Link,,,,,
,A meta-learning approach to personalized blood glucose prediction in type 1 diabetes,,2023,https://www.sciencedirect.com/science/article/pii/S0967066123000679,No,,UVA/Padova,No,No,UVA/Padova: 10 ,Partly,No,"RMSE, MARD, Clarke Error Grid","30, 60, 90",150,"Multiple ML, DL baselines",Yes,"Insulin, carbs",5.5 (30),5.5,30,LSTM,https://www.sciencedirect.com/science/article/pii/S0967066123000679,,,,,
,A multi-patient data-driven approach to blood glucose prediction,,2019,https://ieeexplore.ieee.org/abstract/document/8723121/,No,RT-CGM,,No,No,RT-CGM: 451,Yes,"Lipschitz order index, OBS, Grid Search","RMSE, R^2, MAD, time lag, Clarke Error Grid","30, 45, 60, 90","150, 85, 40","AR, FNN, vanilla RNN",No,No,19.47 (30),19.47,30,RNN (NAR & LSTM),https://ieeexplore.ieee.org/abstract/document/8723121/,,,,,
,A multitask learning approach to personalized blood glucose prediction,,2021,https://ieeexplore.ieee.org/abstract/document/9497711/,No,OhioT1DM,,No,Yes,OhioT1DM: 12,Yes,Yes,"RMSE, MAE, Clarke Error Grid","30, 45, 60, 90, 120",NA,SVR,Yes,"Insulin, meals, activity",18.8 (30),18.8,30,CNN+LSTM,https://ieeexplore.ieee.org/abstract/document/9497711/,,,,,
,A Novel Hybrid Deep Learning Model for Blood Glucose Prediction with Extended Prediction Horizons in Type-1 Diabetic Patients,,2023,https://ieeexplore.ieee.org/abstract/document/10434032,No,ShanghaiT1DM,,No,No,ShanghaiT1DM: 12 ,No,No,"RMSE, MAE, R^2","60, 75, 90",Not clear,No,No," age, Insulin, meals",6.3 (60),6.3,60,Autoencoder+LSTM,https://ieeexplore.ieee.org/abstract/document/10434032,,,,,
,Developing an Individual Glucose Prediction Model Using Recurrent Neural Network,,2020,https://www.mdpi.com/1424-8220/20/22/6460,No,"Yes, also SUCH, but earlier data",Soonchunhyang University Cheonan Hospital,Yes,Yes,SUCH: 20,Partly,Yes,"RMSE, MAPE",30,30,Vanilla RNN,No,No,21.46 (30),21.46,30,GRU,https://www.mdpi.com/1424-8220/20/22/6460,,,,,
,Impact of nutritional factors in blood glucose prediction in type 1 diabetes through machine learning,,2023,https://ieeexplore.ieee.org/abstract/document/10043722/,No,"DirectNet, AI4PG",,Yes,Yes,"DirectNet: 12, 
AI4PG: 15 ",Yes,Grid Search,RMSE,"15,30, 45, 60",30,No,Yes," insulin,  carbs, proteins, fibres, libids, energy intake", 8.01 (30),8.01,30,FFNN,https://ieeexplore.ieee.org/abstract/document/10043722/,,,,,
,Incorporating real-world evidence into the development of patient blood glucose prediction algorithms for the ICU,,2021,https://academic.oup.com/jamia/article-abstract/28/8/1642/6237196,No,MIMIC-III,,No,Yes,MIMIC-III: 14742 ,Partly,No,"RMSE, MAPE, MAD",120,120-1440 (2 - 24 hours),t0 baseline,Yes,"bedside measures, labs, drugs, nutrition",49.9 (120),49.9,120,GBT,https://academic.oup.com/jamia/article-abstract/28/8/1642/6237196,,,,,
,Integrating Bayesian Approaches and Expert Knowledge for Forecasting Continuous Glucose Monitoring Values in Type 2 Diabetes Mellitus,,2024,https://ieeexplore.ieee.org/abstract/document/10702462,No,"ShanghaiT1DM, ShanghaiT2DM",,Yes,Yes,"ShanghaiT2DM: 100
ShanghaiT1DM: 12",No,Tabu search,"MAE, RMSE, MAPE","15, 30, 45, 60",120,Yes ,Yes,"Trend, seasonal, regressor components",8.29 (15),8.29,15,Bayesian Networks,https://ieeexplore.ieee.org/abstract/document/10702462,,,,,
,Intelligent ensemble deep learning system for blood glucose prediction using genetic algorithms,,2022,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/7902418,No,,Soonchunhyang University Cheonan Hospital,No,No,"SUCH T2DM: 51
SUCH T1DM: 29",Yes,Trial and Error,RMSE,"15, 30, 60",30,ARIMA,Yes," CHO intake, insulin", 19.25 (30),19.25,30,RNN (LSTM),https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/7902418,,,,,
,IoMT-enabled real-time blood glucose prediction with deep learning and edge computing,,2022,https://ieeexplore.ieee.org/abstract/document/9681840/,No,OhioT1DM,"ARISES, ABC4D",Yes,No,"OhioT1DM: 12
ABC4D: 25
ARISES: 12",Yes,No,"RMSE, MAE, gRMSE","30, 60",NA,"TCN, CRNN, LSTM, Bi-LSTM, SVR, ARIMA",Yes,No,18.92 (30),18.92,30,Embedded edge evidential neural network,https://ieeexplore.ieee.org/abstract/document/9681840/,,,,,
,A probabilistic approach to blood glucose prediction in type 1 diabetes under meal uncertainties,,2023,https://ieeexplore.ieee.org/abstract/document/10232994/,No,Custom Open-Source,UVA/Padova,Yes,Yes,"UVA/Padova: 10, 
Custom Dataset: 6",Yes,Yes,"RMSE, ECE, SHA, QL, NGLL","30, 60",NA,"Gaussian Process, LSTM",Yes,"insulin, meals",21.16 (30),21.16,30,Encoder,https://ieeexplore.ieee.org/abstract/document/10232994/,,,,,
,An autonomous channel deep learning framework for blood glucose prediction,,2022,https://www.sciencedirect.com/science/article/pii/S1568494622001247,No,OhioT1DM,,No,No,OhioT1DM: 12,Partly,No,"RMSE, MARD, Clarke Error Grid","30, 60","CGM: 35, Insulin: 300, Meal: 240","LSTM, SVR, TCN, DRNN..",Yes," insulin, meals",18.93 (30),18.93,30,LSTM,https://www.sciencedirect.com/science/article/pii/S1568494622001247,,,,,
,Application of improved LightGBM model in blood glucose prediction,,2020,https://www.mdpi.com/2076-3417/10/9/3227,No,,Tianchi Competition Platform,No,No,"Not mentioned patient number, only data piece number",Yes,Yes,"RMSE, MSE, R^2",Not clear,NA,"XGBoost, CatBoost",No, lab test info,"Not clear, even the unit is not clear",,NA,Ensemble decision tree,https://www.mdpi.com/2076-3417/10/9/3227,,,,,
,Automatic blood glucose prediction with confidence using recurrent neural networks,,2018,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1261470,Yes,OhioT1DM,,No,No,OhioT1DM: 6,Yes,Yes,"RMSE, Clarke Error Grid","30, 60","30, 120, 240",t0 baseline,Yes,No,20.1 (30),20.1,30,LSTM,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1261470,,,,,
,Benchmark machine learning approaches with classical time series approaches on the blood glucose level prediction challenge,,2018,https://ceur-ws.org/Vol-2148/paper16.pdf,No,OhioT1DM,,No,No,OhioT1DM: 6,Yes,Grid search,RMSE,30,60,"ZERO ORDER HOLD, linear regression, SVR, RF, Boosting tree",No,"insulin, meals, Heart rate",19.53 (30),19.53,30,SVR,https://ceur-ws.org/Vol-2148/paper16.pdf,,,,,
,Benchmarking machine learning algorithms on blood glucose prediction for type I diabetes in comparison with classical time-series models,,2020,https://ieeexplore.ieee.org/abstract/document/9007528/,No,OhioT1DM,,No,No,OhioT1DM: 6,Yes,Grid search,"RMSE, TG, ESOD",30,"15, 30, 45, 60","AXR, Lasso, elastic net, ridge, RF, ",Yes,"insulin, carbs, heart rate",19.48 (30),19.48,30,"Autoregression with Exogenous Inputs (ARX). LSTM, Temporal Convolution Network were also implemented in this study",https://ieeexplore.ieee.org/abstract/document/9007528/,,,,,
,BGformer: an improved informer model to enhance blood glucose prediction,,2024,https://www.sciencedirect.com/science/article/pii/S1532046424001333,No,DirecNet,,No,No,DirecNet:16,Partly,No,"MAE, RMSE","60, 90",60. 90," ARIMA, Logistic, XGBoost, LSTM, GRU, ",Yes,No,29.54 (60),29.54,60,Encoder,https://www.sciencedirect.com/science/article/pii/S1532046424001333,,,,,
,Blood glucose level prediction: advanced deep-ensemble learning approach,,2022,https://ieeexplore.ieee.org/document/9691857,No,OhioT1DM,,No,No,OhioT1DM: 12,Yes,No,"RMSE, MAE,correlation coefficient, Surveillance Error Grid",30. 60,30. 60. 90. 120,t0 baseline,Yes,No,19.64 (30),19.64,30,LSTM ensemble,https://ieeexplore.ieee.org/document/9691857,,,,,
,Blood glucose prediction for type 1 diabetes using generative adversarial networks,,2020,https://discovery.ucl.ac.uk/id/eprint/10115176/,Yes,OhioT1DM,,No,No,OhioT1DM: 6,Yes,Yes,"RMSE, MAE, Clarke Error Grid","30, 60",90, GRU ,Yes," insulin, meals",18.34 (30),18.34,30,GRU,https://discovery.ucl.ac.uk/id/eprint/10115176/,,,,,
,Deep learning for blood glucose level prediction: How well do models generalize across different data sets?,,2024,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310801,No,"OhioT1DM, DCLP3, DCLP5, RT-CGM",,Yes,Yes,"OhioT1DM : 12,
CLP3: 112,
DCLP5:101,
RT: 451",Yes,Grid search,"RMSE, MAD, COD, FIT%","30, 60",120,Yes,Yes,No,18.26 (30),18.26,30,"FNN, CNN, TCN, RNN",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310801,,,,,
,Deep multi-output forecasting: Learning to accurately predict blood glucose trajectories,,2018,https://dl.acm.org/doi/10.1145/3219819.3220102,Yes,,Custom Dataset,No,No,Custom Dataset: 40,Yes,Yes,APE,"5, 10, 15, 20, 25, 30",50,"t0 baseline, Random Forest, RNN",Yes,No,4.87 (30) (APE),4.87,30 (APE),"Autoregressive forecaster, polynomial ""function"" system",https://dl.acm.org/doi/10.1145/3219819.3220102,,,,,
,Deep Multitask Learning by Stacked Long Short-Term Memory for Predicting Personalized Blood Glucose Concentration,,2023,https://ieeexplore.ieee.org/document/10004718,No,OhioT1DM,,No,No,OhioT1DM: 12,Yes,Yes,"RMSE, MAE","30, 60, 90, 120",120,"Linear Regression, ARIMA, LVX, ANN, SVR, LSTM, DRNN, GluNet",Yes,"Yes, Finger stick glucose, Insulin, Carbs",16.06 (30),16.06,30,Stacked LSTM,https://ieeexplore.ieee.org/document/10004718,,,,,
,Deep physiological model for blood glucose prediction in T1DM patients,,2020,https://www.mdpi.com/1424-8220/20/14/3896,Yes,D1NAMO,AIDA simulator,Yes,No,"D1NAMO: 9,
AIDA: 40 ",Yes,No,"RMSE, EGA","30, 60","AIDA: 540 (36 *15)
D1NAMO: 180 (36 * 5)",No,No,"Yes, Carbohydrate, Insulin",6.42 (30),6.43,30,RNN (LSTM) ,https://www.mdpi.com/1424-8220/20/14/3896,,,,,
,Deep Residual Time-Series Forecasting: Application to Blood Glucose Prediction.,,2020,https://ceur-ws.org/Vol-2675/paper18.pdf,Yes,OhioT1DM,Tidepool,Yes,No,"OhioT1DM: 12,
Tidepool: 100 ",Yes,Grid search,"RMSE, MAE","30, 60","6, 12, 18, 24, 30, 36",N-BEATS,Yes,"Yes, cgm, finger stick, bolus, carbohydrate, time",18.2 (30) ,18.2,30,RNN,https://ceur-ws.org/Vol-2675/paper18.pdf,,,,,
,Blood glucose prediction with VMD and LSTM optimized by improved particle swarm optimization,,2020,https://ieeexplore.ieee.org/abstract/document/9281120/,No,RT-CGM,,No,No,RT-CGM: 56 ,Yes,IPSO Algorithm,"RMSE, MAPE, Clarke Error Grid","30, 45, 60",10, LSTM,No,No,3.03 (30) ,3.03,30,RNN (VMD-IPSO-LSTM) ,https://ieeexplore.ieee.org/abstract/document/9281120/,,,,,
,Continuous blood glucose level prediction of Type 1 Diabetes based on Artificial Neural Network,,2018,https://www.sciencedirect.com/science/article/pii/S020852161830127X,No,,Custom Dataset,No,Yes,Custom Dataset: 12 ,Partly,Yes,"RMSE, MAPE. R^2, REA, SSGPE, GWE","15, 30, 45, 60",Not constant,"SVR, AR, ELM",No,No,7.45 (30),7.45,30,ANN,https://www.sciencedirect.com/science/article/pii/S020852161830127X,,,,,
,Convolutional recurrent neural networks for glucose prediction,,2019,https://ieeexplore.ieee.org/document/8678399,No,,"UVA/Padova, Custom Dataset",Yes,No,"UVA/Padova: 10,
Custom Dataset: 10 ",Partly,No,"RMSE, MARD, MCC","30, 60",120," NNPG, SVR, LVX, ARX",Yes,"Yes, Carbohydrate, Insulin, exercise, stress, alcohol",9.38 (30),9.38,30,CRNN,https://ieeexplore.ieee.org/document/8678399,,,,,
,Deep learning based one step and multi-steps ahead forecasting blood glucose level,,2023,https://onlinelibrary.wiley.com/doi/full/10.1111/exsy.13393,No,DirecNet,,No,Yes,DirecNet: 108 ,Yes,No,"MAE, RMSE, MMRE, PRED","30, 5","50 (10 *5),5 (1*5)","ARIMA,SVR",Yes,No,28.91 (30),28.91,30,GRU (Many models) ,https://onlinelibrary.wiley.com/doi/full/10.1111/exsy.13393,,,,,
,Blood glucose prediction with deep neural networks using weighted decision level fusion,,2021,https://www.sciencedirect.com/science/article/pii/S0208521621001005,No,OhioT1DM,,No,No,OhioT1DM: 12,Yes,Yes,"RMSE, MAPE, RMSPE, MAE","30, 45, 60",30,"LSTM, Wavenet, GRU",Yes,No,21.90 (30),21.9,30,"Ensemble (LSTM, GRU, Wavenet)",https://www.sciencedirect.com/science/article/pii/S0208521621001005,,,,,
,Ensemble models of cutting-edge deep neural networks for blood glucose prediction in patients with diabetes,,2021,https://www.mdpi.com/1424-8220/21/21/7090,No,OhioT1DM,,No,No,OhioT1DM: 6,Yes,Yes,"MSE, RMSE, R^2, correlation coefficient, MARD","30, 60, 120",120,Yes,Yes,"insulin, carbs",19.57 (30),19.57,30,Ensemble (LSTM),https://www.mdpi.com/1424-8220/21/21/7090,,,,,
,Feature transformation for efficient blood glucose prediction in type 1 diabetes mellitus patients,,2023,https://www.mdpi.com/2075-4418/13/3/340,No,OhioT1DM,,No,No,OhioT1DM: 6,Partly,No,RMSE,"30, 60",30 (6*5),Yes,Yes," Basal insulin, heart rate, physological features",14.76 (30) ,14.76,30,RNN (LSTM) ,https://www.mdpi.com/2075-4418/13/3/340,,,,,
,Exploring the potential of deep learning models integrating transformer and LSTM in predicting blood glucose levels for T1D patients,,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC11970073/#section2-20552076251328980,No,,"T1D dataset from the First Renmin Hospital of Yunnan Province, and UVA simulator",Yes,Yes,"FRHYP: 13, Simulator: 10",Yes,No,"RMSE, MAE, CEG","30, 60, 90, 120",240,No,Yes,"Yes, meal, insulin, demographics",10.157 (30),10.157,30,LSTM+ENCODER,,,,,,
,Blood glucose prediction for type 2 diabetes using clustering-based domain adaptation,,2025,https://www.sciencedirect.com/science/article/pii/S1746809425001405,No,ShanghaiT2DM,,No,No,908,Yes,No,RMSE,"30, 60",60,Yes,No,No,14.96 (30),14.96,30,GRU,,,,,,
,A pretrained transformer model for decoding individual glucose dynamics from continuous glucose monitoring data,,2025,https://academic.oup.com/nsr/article/12/5/nwaf039/8005967,Yes,"Nationwide Multicenter CGM, National Real-World CGM study",,Yes,Yes,"NWCGM: 964, NRWCGM: 58847",Yes,Yes,MAE,Predict CGM for a entire day,24h,Yes,Yes,"Yes, demographics, labs, meal timing",3.7 (MAE) (horizon not specified),3.7,NA,Transformer,,,,,,
,A data-driven personalized approach to predict blood glucose levels in type-1 diabetes patients exercising in free-living conditions,,2025,https://www.sciencedirect.com/science/article/pii/S001048252500366X?via%3Dihub,No,T1DEXI,,No,Yes,79,Yes,Yes,"RMSE, PDE","10, 20, 30",120,Yes,Yes,"Yes, activity, HR, insulin, meal",17.74 (30),17.74,30,CNN-LSTM,,,,,,
,Personalized glucose forecasting for people with type 1 diabetes using large language models,,2025,"https://pubmed.ncbi.nlm.nih.gov/40188577/#:~:text=Background%20and%20objective%3A%20%20Type,Lastly",Yes,T1DEXI,,No,No,497,Yes,Yes,"RMSE, MAE","60, 90, 120",24h,Yes,Yes,No,17.5 (60),17.5,60,LLM based,,,,,,
,Glucose Prediction with Long Short-Term Memory (LSTM) Models in Three Distinct Populations,,2024,https://www.mdpi.com/2673-4591/82/1/87,No,"OhioT1DM, ShanghaiT2DM, Physionet",,Yes,No,"OhioT1DM:12,
ShanghaiT2DM: 92,
Physionet: 16",Yes,No,"NRMSE, RMSE, MAE, CEG","5, 15",NA,No,Yes,Not mentioned,4.00 (5),4,5,LSTM,,,,,,
,Incorporating Glucose Variability into Glucose Forecasting Accuracy Assessment Using the New Glucose Variability Impact Index and the Prediction Consistency Index: An LSTM Case Example,,2021,https://journals.sagepub.com/doi/10.1177/19322968211042621?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,No,Tidepool,Custom Dataset,No,Yes,"Tidepool: 105, 
Custom Dataset: 10",Yes,Yes,"RMSE, MAE, ME","30, 60","180, 120, 60",Yes,Yes,No,19.6 (30),19.6,30,LSTM,,,,,,
,Neural Physiological Model: A Simple Module for Blood Glucose Prediction,,2020,https://ieeexplore.ieee.org/document/9176004,No,OhioT1DM,Digital SMD,Yes,No,"OhioT1DM: 6, Digital SMD: 34",Yes,No,RMSE,"30, 60",NA,Yes (CNN),Yes,"Carb, Insulin",9.18 (30),9.18,30,Encoder,,,,,,
,Enhancing self-management in type 1 diabetes with wearables and deep learning,,2022,https://www.nature.com/articles/s41746-022-00626-5#Sec2,No,,a clinical dataset,No,Yes,12,Yes,Yes,"RMSE, gRMSE, MAE, MAPE","15, 30, 45, 60",60,Yes,Yes,"Data from Empatica E4, Daily entry",20.92 (30),20.92,30,GRU,,,,,,
,Comparing machine learning techniques for blood glucose forecasting using free-living and patient generated data,,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8782424/,Yes,"OpenAPS, OhioT1DM",,Yes,No,"OpenAPS: 55, OhioT1DM: 12",Partly,Yes,RMSE,30,60,Yes,Yes,No,19.12 (30),19.12,30,RNN,,,,,,
,A hybrid Transformer-LSTM model apply to glucose prediction,PLOS ONE,2024,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310084,No,Dataset provided by Suzhou Municipal Hospital,,No,Yes,SMH: 8,No,No,MAE,"15, 30, 45",Not mentioned,Yes,No,No,30.651 (MAE),30.651,30 (MAE),Transformer LSTM,,,,,,
